Gold,Silver,Bronze,Gold_Ratio,Silver_Ratio,Bronze_Ratio,Country,Cluster,Cluster_Description,DBSCAN_Cluster,Agglo_Cluster
7.996036171981503,7.305705333011004,6.94325587976989,0.4458567161175391,-0.0184419066596805,-0.3914379511673282,United States,2,High Medal Count,-1,1
2.529035319574761,3.027218597674087,2.8118330202094444,0.1966945483402149,0.1197424958738421,-0.2880411372843641,Great Britain,0,Low Medal Count,-1,0
1.7030855505061162,2.572727332748187,2.449716275546776,0.0059924337291789,0.2030114458228805,-0.1886132530418099,France,0,Low Medal Count,0,0
1.49332052979027,2.039875504904029,2.2521980511853203,0.03015166848799,0.0964300573467246,-0.1145822971054558,Germany,0,Low Medal Count,0,0
1.231114253895462,1.397318888974309,1.890081306522652,0.0903468677546141,-0.0489122320449257,-0.0385688423277184,Russia,0,Low Medal Count,0,0
1.231114253895462,1.5070236770598706,1.7748623423118026,0.0903468677546141,0.0298258104544205,-0.1095953308874332,Sweden,0,Low Medal Count,0,0
1.899740257427222,1.1308929750522296,1.1987675212575573,0.6966896132974452,-0.2161526653219013,-0.4426675299720216,China,0,Low Medal Count,-1,0
1.2048936263059813,1.3032862134723984,1.3139864854684065,0.2372377781907043,0.0410741022400415,-0.2541849683125671,Italy,0,Low Medal Count,0,0
0.7984738986690292,1.1779093128031848,1.132928113137072,0.0436268477237284,0.1636575270057874,-0.187558808854584,Australia,0,Low Medal Count,0,0
0.6411501331321444,0.5980411472080713,1.0012492968961018,0.1457773999946481,-0.1455905880251357,-0.002092309324176,Finland,0,Low Medal Count,0,0
0.5100469951847405,0.7077459352936333,0.902490184715374,0.0140569510137253,0.0366339870615068,-0.0459118063705461,Japan,0,Low Medal Count,0,0
0.759142957284808,0.4726642465388575,0.6885121083237972,0.4396351531027735,-0.2034606794555799,-0.2188454678892649,Hungary,0,Low Medal Count,0,0
0.4182747986215578,0.394303683620599,0.4745340319322203,0.2356698859930575,-0.0329717956858744,-0.1859560536900003,Netherlands,0,Low Medal Count,0,0
0.0774066399583076,0.3002710081186887,0.902490184715374,-0.3704153315992304,-0.1398303774837312,0.4651608609825163,Canada,0,Low Medal Count,0,0
0.3789438572373366,0.4726642465388575,0.3428552156912499,0.2134748074167962,0.1435067712227074,-0.3248362112649294,Soviet Union,0,Low Medal Count,0,0
0.2871716606741539,0.2219104452004301,0.2111763994502795,0.3323131910980669,-0.019813390251689,-0.2862792356586495,South Korea,0,Low Medal Count,0,0
0.090516953753048,0.3472873458696438,0.3099355116310073,-0.1256299067689635,0.244282293257645,-0.1053737356341447,Switzerland,0,Low Medal Count,0,0
